wavelength_m,power_dBm
7.7788e-07,-60.1783365
7.77888e-07,-60.0672658
7.77896e-07,-59.8803512
7.77904e-07,-59.0034776
7.77912e-07,-58.8432579
7.7792e-07,-57.8403388
7.77928e-07,-57.6482728
7.77936e-07,-58.0688007
7.77944e-07,-58.5151249
7.77952e-07,-58.7646869
7.7796e-07,-58.9489003
7.77968e-07,-60.0970174
7.77976e-07,-60.7587404
7.77984e-07,-60.9746011
7.77992e-07,-60.1932903
7.78e-07,-60.1921218
7.78008e-07,-60.1694941
7.78016e-07,-59.6611688
7.78024e-07,-59.7050854
7.78032e-07,-60.0293658
7.7804e-07,-60.265488
7.78048e-07,-59.1732674
7.78056e-07,-59.0139389
7.78064e-07,-59.4481399
7.78072e-07,-59.5868524
7.7808e-07,-59.5940828
7.78088e-07,-59.8618178
7.78096e-07,-59.7228698
7.78104e-07,-59.5076943
7.78112e-07,-59.4897522
7.7812e-07,-59.2043317
7.78128e-07,-58.9722796
7.78136e-07,-58.8764945
7.78144e-07,-59.0266097
7.78152e-07,-58.5279732
7.7816e-07,-58.2001743
7.78168e-07,-57.9844758
7.78176e-07,-57.930517
7.78184e-07,-58.8354597
7.78192e-07,-59.1908706
7.782e-07,-59.8441682
7.78208e-07,-59.0126945
7.78216e-07,-58.7553647
7.78224e-07,-59.3984946
7.78232e-07,-59.4905657
7.7824e-07,-58.8024148
7.78248e-07,-59.5570947
7.78256e-07,-59.5059142
7.78264e-07,-59.4031081
7.78272e-07,-59.5254629
7.7828e-07,-59.0638979
7.78288e-07,-59.9501317
7.78296e-07,-60.06479
7.78304e-07,-60.4307682
7.78312e-07,-59.6885691
7.7832e-07,-60.4678249
7.78328e-07,-60.2566436
7.78336e-07,-59.9339151
7.78344e-07,-59.7269131
7.78352e-07,-60.5460511
7.7836e-07,-60.0171602
7.78368e-07,-59.3335459
7.78376e-07,-59.4650324
7.78384e-07,-59.9500366
7.78392e-07,-60.6652489
7.784e-07,-60.1336241
7.78408e-07,-59.8758608
7.78416e-07,-59.3655161
7.78424e-07,-58.9572994
7.78432e-07,-58.7450469
7.7844e-07,-58.7476048
7.78448e-07,-58.8996249
7.78456e-07,-58.492039
7.78464e-07,-58.3518759
7.78472e-07,-59.0339217
7.7848e-07,-58.9160841
7.78488e-07,-58.9134561
7.78496e-07,-58.947309
7.78504e-07,-58.6182491
