wavelength_m,power_dBm
7.80752e-07,-33.8150818
7.8076e-07,-33.8345647
7.80768e-07,-33.8320339
7.80776e-07,-33.824481
7.80784e-07,-33.8318029
7.80792e-07,-33.8415086
7.808e-07,-33.8805999
7.80808e-07,-33.9251783
7.80816e-07,-33.9633321
7.80824e-07,-33.9567018
7.80832e-07,-33.9933928
7.8084e-07,-34.0098732
7.80848e-07,-34.0469198
7.80856e-07,-34.0598075
7.80864e-07,-34.0425901
7.80872e-07,-34.0638346
7.8088e-07,-34.0984206
7.80888e-07,-34.1632509
7.80896e-07,-34.22767
7.80904e-07,-34.2729488
7.80912e-07,-34.3164595
7.8092e-07,-34.3261262
7.80928e-07,-34.3823015
7.80936e-07,-34.4056321
7.80944e-07,-34.3946923
7.80952e-07,-34.3725405
7.8096e-07,-34.3656937
7.80968e-07,-34.3549102
7.80976e-07,-34.3872348
7.80984e-07,-34.3856664
7.80992e-07,-34.3620819
7.81e-07,-34.3423134
7.81008e-07,-34.3357784
7.81016e-07,-34.3765811
7.81024e-07,-34.3966164
7.81032e-07,-34.4239901
7.8104e-07,-34.4345714
7.81048e-07,-34.4547253
7.81056e-07,-34.5016178
7.81064e-07,-34.5531759
7.81072e-07,-34.5778508
7.8108e-07,-34.5944459
7.81088e-07,-34.6456373
7.81096e-07,-34.7204534
7.81104e-07,-34.8111985
7.81112e-07,-34.8742555
7.8112e-07,-34.9216428
7.81128e-07,-34.9977535
7.81136e-07,-35.0264533
7.81144e-07,-35.0830516
7.81152e-07,-35.1016288
7.8116e-07,-35.0854532
7.81168e-07,-35.0684399
7.81176e-07,-35.0615469
7.81184e-07,-35.0794225
7.81192e-07,-35.1221054
7.812e-07,-35.1743707
